loan_id,application_id,client_id,issue_date,product_name,loan_amount,interest_rate,term_months
84,172,3234,2025-03-21,POS loan,811319.00,12.08,6
85,174,3678,2026-03-22,Cash loan,2909408.80,30.24,18
86,178,4368,2025-11-04,Credit card,930398.60,37.21,12
87,180,4331,2025-04-08,Cash loan,1273631.72,23.31,36
88,183,135,2026-04-02,Cash loan,1662553.42,18.10,36
89,186,3508,2026-02-28,Credit card,313156.27,34.25,12
90,187,3005,2025-10-07,POS loan,825372.66,25.69,6
91,189,2919,2024-02-19,Cash loan,1387595.73,33.56,24
92,190,2465,2024-02-12,Micro loan,166182.85,35.08,6
93,192,3150,2024-11-16,Credit card,709843.73,37.57,36
94,195,3226,2024-08-14,Credit card,722918.92,36.58,36
95,197,797,2025-05-17,Cash loan,2914602.05,31.85,12
96,199,1508,2024-09-26,Cash loan,2553012.88,21.25,18
97,200,3334,2025-02-22,Auto loan,12998346.63,15.04,60
98,201,333,2026-01-26,Cash loan,1283324.68,28.59,18
99,202,4496,2024-01-25,Cash loan,2788470.00,21.74,24
100,209,4470,2024-11-04,POS loan,232999.67,22.66,12
101,215,4785,2025-01-08,Micro loan,321500.93,47.25,12
102,216,2981,2024-02-14,Credit card,1069833.07,22.18,12
103,218,1897,2025-11-08,Cash loan,2934895.22,30.12,12
104,220,1414,2025-01-27,Micro loan,107670.21,45.35,9
105,221,2069,2025-04-09,Cash loan,1532401.70,20.95,18
106,222,2171,2024-10-05,Auto loan,7881184.83,23.62,36
107,227,3793,2025-07-25,Cash loan,2411622.46,30.77,18
108,230,1350,2024-11-16,Micro loan,414757.37,41.40,3
109,232,992,2024-11-24,POS loan,611790.45,11.22,6
110,233,1396,2025-03-21,Credit card,447113.31,25.92,12
111,234,2314,2024-06-10,POS loan,588730.50,11.86,6
112,236,724,2024-08-07,Credit card,348288.36,24.71,24
113,237,2950,2024-12-18,Cash loan,151640.55,28.47,12
114,240,4124,2025-10-23,Cash loan,1090138.15,21.07,18
115,241,4306,2024-06-25,Credit card,974888.02,25.87,12
116,242,589,2024-06-09,POS loan,401187.44,15.77,18
117,243,1511,2025-11-05,Credit card,1075487.29,25.73,24
118,244,863,2026-01-21,Auto loan,3520964.06,12.43,72
119,246,1028,2025-04-08,POS loan,722927.83,17.70,6
120,248,1013,2025-08-17,Credit card,588508.44,35.54,12
121,251,4974,2025-09-23,Cash loan,445285.05,24.76,36
122,257,3963,2025-04-09,Credit card,794331.73,37.95,24
123,258,338,2024-08-01,Credit card,925673.43,34.40,24
124,260,786,2025-06-12,Cash loan,1494570.92,20.51,36
125,261,4429,2026-04-27,Cash loan,1088630.53,19.74,12
126,262,4406,2024-03-03,Micro loan,216729.78,47.73,3
127,264,1975,2025-08-08,POS loan,191992.73,25.69,6
128,266,692,2024-01-31,Credit card,1409479.37,33.20,24
129,269,3362,2025-10-31,Cash loan,577922.07,18.65,24
130,270,4051,2025-07-28,Credit card,299112.14,35.84,36
131,273,2005,2024-12-11,Cash loan,1547801.96,21.82,36
132,274,495,2025-07-06,Cash loan,414018.07,19.90,36
133,277,527,2024-02-12,Credit card,1112311.15,36.13,24
134,278,2899,2024-07-07,Micro loan,378665.56,47.38,6
135,283,678,2024-10-16,Auto loan,11440821.89,15.56,72
136,284,83,2025-09-15,Micro loan,188381.99,41.87,12
137,285,427,2024-12-19,Micro loan,415431.63,36.80,6
138,288,3678,2025-10-10,Credit card,1144003.09,28.34,12
139,289,1408,2024-03-06,Cash loan,1870051.98,23.27,18
140,291,1698,2024-06-30,Cash loan,1555972.57,33.13,24
141,292,1431,2026-03-03,POS loan,107597.01,10.53,12
142,293,4856,2025-11-22,Micro loan,282869.69,36.56,3
143,294,2423,2025-05-17,Auto loan,6913143.65,14.00,36
144,296,4917,2024-10-01,POS loan,139301.03,26.16,24
145,298,1776,2025-02-14,POS loan,872875.05,22.30,24
146,299,2871,2025-01-05,Micro loan,336522.30,30.80,3
147,304,1860,2026-02-26,POS loan,1023935.70,24.52,24
148,306,3446,2025-08-20,POS loan,79661.07,13.19,12
149,308,1638,2024-08-03,POS loan,59117.76,12.11,12
150,309,3562,2024-06-27,Micro loan,396860.59,33.05,3
151,313,1559,2024-04-21,Cash loan,1730522.05,19.39,12
152,314,3678,2024-05-12,Credit card,1187409.08,33.52,12
153,316,4946,2025-11-13,Credit card,803581.95,29.52,24
154,317,603,2025-09-12,Micro loan,32058.08,44.45,12
155,320,3024,2024-03-31,POS loan,929853.29,15.10,12
156,322,1230,2025-12-22,Cash loan,1973045.15,23.51,18
157,325,1374,2024-07-18,POS loan,962017.73,17.40,12
158,326,2356,2024-03-25,Credit card,1226079.19,31.43,24
159,329,4041,2025-12-19,Auto loan,12491240.97,19.98,36
160,333,4538,2024-09-13,Cash loan,508235.72,26.97,36
161,334,929,2024-04-10,Cash loan,820768.36,28.14,18
162,335,951,2024-06-17,Cash loan,1741873.53,20.67,36
163,336,2985,2024-11-15,Micro loan,434767.02,48.29,3
164,337,1671,2025-04-05,Cash loan,3068682.64,26.95,36
165,339,3296,2025-09-10,POS loan,592283.50,16.41,6
166,340,4447,2025-01-01,POS loan,47648.00,13.17,24
167,341,61,2024-05-09,Credit card,1563677.57,28.28,12
168,342,4039,2025-02-26,Micro loan,108939.21,44.24,3
169,343,3170,2024-04-18,Cash loan,235768.39,31.46,24
170,345,4280,2025-10-08,Micro loan,111922.72,30.09,12
171,346,243,2024-09-09,Micro loan,433850.47,31.31,9
172,349,2599,2024-10-29,Micro loan,401725.81,40.38,3
173,351,616,2024-05-05,POS loan,572716.60,23.78,24
174,356,2408,2024-05-13,Auto loan,14479814.30,22.66,48
175,358,4896,2026-04-17,POS loan,640282.51,27.27,12
176,359,1951,2024-10-20,Micro loan,376185.20,43.48,3
177,361,2107,2024-12-06,Cash loan,902254.56,27.25,12
178,362,3549,2026-02-15,Micro loan,317381.35,36.04,3
179,363,277,2026-03-17,POS loan,629690.94,24.29,6
180,365,2381,2025-10-18,POS loan,532134.62,15.38,18
181,367,3962,2025-07-11,POS loan,573117.75,12.88,24
182,370,2280,2025-10-22,Cash loan,1424719.88,21.99,24
183,371,1970,2024-09-10,Cash loan,876069.77,18.50,24
184,373,283,2024-04-09,Credit card,1092261.17,33.43,24
185,374,1280,2025-01-07,Micro loan,93147.42,43.21,9
186,375,3963,2026-03-30,Micro loan,65478.38,45.39,9
187,376,34,2026-03-31,Credit card,940489.62,22.93,36
188,381,1255,2025-06-02,Cash loan,1027208.69,30.97,36
189,382,1256,2025-02-05,POS loan,128178.01,25.42,6
190,383,1684,2026-02-01,Micro loan,182384.94,34.08,9
191,386,3998,2025-06-10,Credit card,1730320.50,24.05,36
192,387,4183,2025-07-06,Micro loan,66216.88,37.60,3
193,389,965,2025-04-21,Micro loan,343124.63,32.57,3
194,391,1978,2024-03-25,Cash loan,1707285.67,24.73,12
195,392,1123,2024-12-27,Cash loan,2749720.65,24.54,24
196,393,1755,2025-06-22,Micro loan,411091.88,44.26,3
197,395,2140,2024-04-06,Cash loan,2641448.36,21.60,24
198,397,1905,2025-12-21,POS loan,461069.75,27.69,12
199,400,3942,2024-10-03,Cash loan,2448965.90,27.49,24
200,404,4708,2025-01-12,POS loan,975001.15,26.86,24
201,405,4980,2026-03-31,Micro loan,211193.42,30.68,6
202,406,1493,2025-05-21,Cash loan,2256439.63,20.73,12
203,408,586,2024-05-14,Credit card,213851.08,25.38,12
204,409,850,2024-04-23,Credit card,1342215.29,33.94,12
205,411,3056,2026-03-02,Credit card,383744.10,28.53,12
206,413,2363,2025-12-29,Auto loan,3123721.82,18.31,36
207,414,1143,2026-04-23,Auto loan,3960018.23,15.79,60
208,415,1394,2024-02-13,Credit card,1454216.50,37.70,24
209,416,2636,2025-12-31,Micro loan,446645.25,43.21,3
210,417,4715,2024-11-13,Cash loan,445150.40,32.74,12
211,419,1681,2025-05-06,Credit card,309989.66,34.82,36
212,420,915,2025-03-15,Micro loan,174202.39,47.95,6
213,421,444,2025-06-19,Cash loan,2590923.79,22.24,36
214,422,554,2025-01-16,Cash loan,875506.32,22.88,18
215,425,1617,2025-04-07,Credit card,1292664.28,33.14,36
216,426,1895,2025-07-10,Cash loan,1083025.11,19.07,18
217,428,1385,2024-11-14,Micro loan,309275.08,28.27,3
218,430,1906,2025-01-02,POS loan,1108548.62,24.28,6
219,431,1675,2024-09-28,Credit card,281043.79,36.85,12
220,432,4188,2024-02-06,Credit card,1751514.66,30.45,36
221,434,1117,2026-01-24,Micro loan,284515.54,46.05,6
222,435,4847,2025-07-25,Auto loan,6419120.90,19.06,72
223,436,2901,2024-08-20,POS loan,711888.46,22.65,18
224,437,2415,2024-04-22,POS loan,521147.02,16.81,24
225,438,273,2025-04-03,Auto loan,6609958.97,17.65,48
226,440,1747,2026-03-04,Micro loan,111338.67,35.98,3
227,442,4836,2024-12-06,POS loan,384362.44,18.17,12
228,444,2095,2025-12-08,Cash loan,1716966.07,23.36,24
229,446,1731,2024-02-04,POS loan,1011804.80,25.31,6
230,447,417,2024-01-15,Cash loan,1600289.35,24.42,12
231,448,370,2025-05-03,Cash loan,504109.46,32.33,36
232,449,2215,2025-04-09,Micro loan,261076.65,46.47,12
233,450,3536,2025-07-29,Cash loan,1727414.19,31.35,24
234,452,2691,2024-05-25,Credit card,1269597.83,30.96,36
235,453,1793,2025-01-31,Micro loan,378920.62,31.67,6
236,456,2571,2025-12-21,Micro loan,365130.92,30.32,6
237,458,3395,2025-07-10,Micro loan,283366.45,35.36,6
238,460,4413,2026-03-13,Cash loan,2628124.44,30.49,36
239,461,2412,2024-07-18,Cash loan,1450304.10,29.35,36
240,463,2670,2025-03-06,POS loan,529197.36,15.93,6
241,464,1428,2024-02-19,Cash loan,1746503.12,19.90,12
242,465,2589,2025-09-10,Auto loan,11098257.79,18.12,48
243,466,197,2024-03-16,Cash loan,1008208.38,27.21,18
244,468,4415,2024-02-26,POS loan,1013890.27,12.40,18
245,471,112,2024-02-12,Micro loan,59726.69,41.84,12
246,477,682,2024-07-22,Credit card,1361694.75,34.09,24
247,478,2715,2026-01-30,Cash loan,1753062.22,20.93,24
248,480,3055,2024-03-06,Credit card,333821.36,30.16,24
249,481,2703,2025-09-09,Cash loan,1130479.83,27.69,18
250,483,2104,2024-03-20,Credit card,1489826.60,34.86,24
251,488,817,2025-03-06,POS loan,631630.10,10.79,12
252,490,4138,2025-09-15,Micro loan,174741.15,44.69,12
253,495,3749,2026-02-08,Auto loan,10633022.81,17.56,48
254,496,2181,2024-11-06,Micro loan,305459.44,37.37,6
255,497,41,2025-08-13,Credit card,904426.93,26.54,36
256,499,4752,2024-06-17,Credit card,666063.83,30.61,24
257,501,1999,2025-05-04,POS loan,894121.90,18.09,18
258,503,371,2024-12-05,Cash loan,646645.43,30.36,18
259,504,4612,2024-04-16,Micro loan,382568.18,37.47,6
260,505,1039,2025-07-10,Credit card,591848.50,35.53,36
261,506,3750,2025-03-27,POS loan,779354.35,19.75,18
262,519,4410,2024-11-29,POS loan,685970.26,12.91,6
263,521,2189,2026-02-06,Credit card,688729.92,22.96,36
264,523,3359,2024-08-04,Cash loan,1187891.85,20.17,24
265,525,4631,2024-12-24,Micro loan,40283.87,38.07,6
266,526,1316,2025-05-02,Micro loan,411664.25,39.80,6
267,527,1171,2025-05-09,POS loan,649864.08,10.61,12
268,532,3565,2025-12-07,Micro loan,272836.28,37.39,9
269,533,4916,2026-04-25,Micro loan,257136.61,31.53,12
270,536,4062,2026-03-16,POS loan,978922.60,15.10,18
271,537,2279,2025-05-21,Cash loan,1131706.77,30.92,24
272,540,2811,2025-09-16,Cash loan,253510.72,30.80,24
273,542,3936,2025-10-02,POS loan,410193.78,23.72,6
274,543,378,2024-01-29,Credit card,384558.17,27.64,24
275,544,2523,2026-04-27,Auto loan,1907457.03,14.97,60
276,545,3935,2024-11-12,Cash loan,1583736.77,31.89,24
277,547,4524,2024-01-09,Cash loan,1660937.96,30.39,18
278,550,323,2024-09-20,Cash loan,476921.66,31.65,36
279,551,4533,2025-04-23,Micro loan,114116.18,40.00,12
280,552,2927,2025-09-06,POS loan,211752.76,17.07,6
281,555,3545,2025-10-23,Credit card,377010.76,29.06,36
282,556,2377,2026-04-26,Cash loan,2245087.66,23.63,18
283,558,4341,2025-06-05,Cash loan,1049319.48,31.48,36
284,561,1469,2025-04-08,POS loan,329970.73,14.26,6
285,562,650,2025-04-14,Credit card,1608489.33,26.00,36
286,564,1294,2025-03-18,POS loan,319298.44,19.17,24
287,572,1355,2025-09-07,POS loan,757021.61,20.11,18
288,573,2308,2024-04-20,Auto loan,8510185.37,17.18,72
289,574,4209,2024-02-22,Cash loan,1097907.48,33.42,24
290,577,2043,2026-03-25,Credit card,1039112.81,26.72,24
291,579,2385,2025-10-06,POS loan,630124.12,19.85,18
292,583,751,2026-04-22,Cash loan,374705.36,19.95,12
293,584,538,2025-11-16,Credit card,620012.22,34.92,12
294,586,1911,2024-01-13,Cash loan,494981.24,31.58,18
295,587,3648,2024-08-14,POS loan,518466.99,11.42,6
296,588,3941,2026-04-17,Credit card,186095.91,23.17,36
297,591,1295,2024-06-20,Micro loan,294386.50,34.35,12
298,592,1,2025-03-07,Cash loan,2161943.71,23.98,18
299,593,2212,2025-12-16,Credit card,747745.71,27.84,36
300,594,2565,2024-03-28,Micro loan,289758.61,46.98,3
301,599,3330,2024-03-03,Micro loan,149614.86,28.23,12
302,600,4919,2026-03-15,Cash loan,2847426.01,22.83,36
303,601,4051,2025-05-13,Credit card,787893.82,30.67,24
304,602,2682,2024-09-24,Micro loan,332818.18,47.54,6
305,603,2596,2025-05-05,POS loan,481683.93,13.38,18
306,604,2537,2025-02-21,Micro loan,74369.69,46.28,9
307,606,899,2026-03-19,Auto loan,8675553.92,19.56,36
308,607,2113,2024-04-19,Auto loan,4379226.27,17.99,72
309,609,796,2025-02-05,Cash loan,2153134.39,22.49,18
310,610,620,2025-08-04,POS loan,590718.50,12.54,6
311,611,4015,2024-02-20,Credit card,865461.20,24.15,24
312,615,3313,2025-05-26,Auto loan,1913326.19,17.32,48
313,616,497,2025-12-20,POS loan,121113.50,26.54,24
314,618,1449,2025-02-24,POS loan,924445.60,17.93,24
315,619,1172,2024-09-18,Cash loan,2426486.28,29.24,12
316,620,4137,2024-05-09,Cash loan,137492.70,29.51,36
317,622,362,2025-03-18,Credit card,1746775.19,34.39,12
318,625,3368,2026-01-27,Cash loan,317002.95,28.46,18
319,626,996,2025-04-25,Auto loan,6220407.33,23.65,60
320,627,4050,2025-03-19,Cash loan,2875129.32,20.09,24
321,631,2971,2025-04-22,POS loan,965295.02,16.04,18
322,632,3959,2025-05-13,Auto loan,8937293.66,21.18,36
323,633,1076,2025-12-12,Cash loan,2814520.46,21.55,24
324,634,1449,2025-07-20,Auto loan,6804757.39,17.71,60
325,637,2979,2025-10-03,POS loan,487587.36,16.81,18
326,639,4721,2024-04-15,Cash loan,3224731.86,31.12,12
327,640,4858,2025-08-30,Micro loan,263664.18,36.21,3
328,646,316,2026-04-01,Cash loan,1548023.60,20.18,24
329,647,1380,2026-01-13,Cash loan,2546262.22,30.65,12
330,649,2882,2025-10-07,Cash loan,510956.91,29.78,18
331,653,2948,2024-09-08,Micro loan,378211.79,41.80,9
332,656,161,2025-01-31,Credit card,133031.29,30.86,24
333,661,1974,2025-12-30,Auto loan,12691673.67,17.91,72
334,662,224,2026-02-17,Cash loan,1509236.00,27.89,24
335,666,3853,2025-01-24,Credit card,89434.32,24.75,36
336,668,1988,2024-03-03,Cash loan,189466.14,24.79,36
337,669,4340,2025-08-22,Cash loan,1653265.64,21.96,12
338,673,2691,2024-11-08,POS loan,1042338.17,26.97,6
339,674,2,2025-07-16,Cash loan,2171583.61,26.37,18
340,675,3136,2024-06-21,POS loan,1060520.98,23.05,18
341,677,108,2025-01-17,Credit card,1075112.39,24.55,24
342,678,2619,2025-01-15,Micro loan,138950.92,44.97,12
343,680,4530,2025-06-10,POS loan,674515.10,17.30,12
344,681,2961,2024-05-06,Cash loan,2422558.83,29.57,36
345,682,987,2025-06-27,Credit card,270811.79,30.62,24
346,683,2940,2026-02-08,Cash loan,1180158.89,19.54,12
347,684,181,2026-01-01,Micro loan,27084.28,42.53,6
348,685,342,2024-10-08,Auto loan,8223181.21,23.33,72
349,686,3505,2025-08-20,Credit card,1477877.10,22.11,36
350,688,3135,2025-07-30,Credit card,1132150.54,30.48,24
351,691,3076,2024-03-01,POS loan,352383.30,25.30,12
352,694,1122,2025-10-26,Cash loan,420654.41,32.22,18
353,695,3525,2025-02-02,Credit card,1702146.97,28.74,12
354,697,1598,2024-03-27,Credit card,1730598.35,24.14,12
355,699,3447,2025-07-28,Auto loan,7044969.55,19.08,60
356,703,1870,2024-09-02,Micro loan,71272.21,42.23,3
357,704,65,2024-10-24,Cash loan,973746.55,27.91,12
358,706,4670,2025-01-31,Cash loan,706371.71,30.66,36
359,707,1258,2025-05-22,Cash loan,165697.27,19.83,36
360,709,3110,2025-03-22,POS loan,875095.47,25.93,6
361,711,3802,2024-11-20,POS loan,979226.85,22.40,6
362,712,3495,2024-07-29,POS loan,85745.71,13.70,6
363,714,4308,2024-06-09,Cash loan,327853.05,23.13,36
364,715,243,2024-04-07,Credit card,1059083.12,27.25,36
365,716,2414,2025-04-20,POS loan,896869.34,14.22,6
366,717,4290,2025-12-20,Micro loan,158618.21,39.58,12
367,721,4461,2025-08-12,POS loan,71256.52,14.45,6
368,722,3269,2026-03-25,POS loan,1113959.47,16.90,6
369,723,1308,2025-05-21,Credit card,618491.52,22.87,24
370,724,1339,2025-01-23,Cash loan,2668319.33,21.92,24
371,725,2643,2025-06-07,Micro loan,449654.91,39.59,12
372,726,616,2025-11-28,POS loan,270155.03,10.67,18
373,727,2339,2024-04-23,Credit card,1071129.61,33.35,36
374,728,4953,2025-03-30,Cash loan,658636.80,20.49,18
375,730,4474,2024-12-28,Micro loan,235770.03,41.67,3
376,732,2226,2025-07-09,Cash loan,1205651.94,32.35,12
377,735,4132,2025-12-07,Cash loan,2501689.21,19.56,36
378,736,3400,2024-11-03,Cash loan,2281711.63,33.43,36
379,737,4735,2025-05-12,Credit card,555293.60,33.19,24
380,738,200,2025-07-05,POS loan,58002.21,24.62,18
381,740,1976,2025-03-30,Cash loan,1523105.89,19.61,18
382,743,807,2024-09-02,Credit card,890606.24,37.85,36
383,745,2771,2025-02-05,Micro loan,288065.61,42.46,9
384,746,4934,2024-10-15,Micro loan,262222.00,42.55,6
385,747,912,2025-05-30,Micro loan,185084.26,42.66,6
386,748,320,2024-12-27,Credit card,1103234.12,27.78,12
387,751,112,2026-02-23,Cash loan,1949372.37,22.36,24
388,752,3329,2025-02-09,Cash loan,2454866.98,28.71,36
389,753,3980,2025-06-09,Credit card,1613802.64,32.31,36
390,754,1026,2024-11-24,Micro loan,290341.52,28.76,3
391,755,2737,2025-08-01,Auto loan,8217618.65,17.51,36
392,757,1328,2024-05-26,Micro loan,365025.69,37.15,12
393,758,2223,2024-02-16,POS loan,98488.54,22.59,6
394,759,2129,2024-04-16,Cash loan,756963.98,22.32,18
395,760,1912,2025-07-31,POS loan,1148299.42,16.85,12
396,763,2072,2025-03-15,Credit card,1475390.99,25.57,24
397,764,4613,2025-03-03,Micro loan,109961.14,40.86,9
398,766,425,2025-07-29,Micro loan,180710.18,36.28,9
399,767,649,2025-12-30,Cash loan,2721498.53,19.03,36
400,769,3267,2024-02-10,Cash loan,445198.63,26.75,24
401,771,298,2025-08-28,Auto loan,2543351.64,23.68,48
402,772,298,2025-08-05,Micro loan,111253.94,31.14,3
403,773,4894,2024-04-26,POS loan,635861.50,18.60,18
404,776,2202,2025-02-17,Cash loan,2921744.34,33.82,24
405,777,2443,2026-02-21,Credit card,399904.23,33.24,12
406,778,35,2025-10-30,Cash loan,2418807.29,30.50,36
407,779,4505,2025-08-15,POS loan,880455.19,24.13,18
408,780,1618,2024-03-05,POS loan,429668.85,15.74,6
409,784,764,2024-08-10,Credit card,555990.33,23.23,12
410,789,2918,2024-03-09,Micro loan,200696.68,46.97,6
411,790,4017,2025-11-20,Micro loan,96972.40,32.36,6
412,794,4596,2025-05-24,Micro loan,219467.88,35.63,6
413,795,572,2025-11-29,POS loan,634093.18,22.29,12
414,796,4337,2026-02-04,Auto loan,13916225.70,12.89,48
415,797,1872,2024-02-23,Micro loan,107383.22,33.19,6
416,798,2243,2026-01-17,Cash loan,2613021.52,30.76,24
417,800,2416,2025-10-21,Auto loan,4984984.93,19.81,36
418,801,1192,2025-09-02,Auto loan,6212708.13,23.49,48
419,804,1061,2024-09-30,Credit card,1300268.36,23.21,36
420,805,2245,2025-09-29,POS loan,992077.55,24.41,24
421,806,2424,2024-04-23,Credit card,95143.12,25.23,12
422,807,611,2024-01-30,Cash loan,2347503.00,29.82,12
423,808,2389,2024-10-27,Micro loan,546986.98,43.22,9
424,809,4669,2024-09-11,Cash loan,2803885.28,22.40,12
425,810,993,2024-05-11,POS loan,766922.81,18.40,12
426,812,1475,2024-10-21,POS loan,170370.31,10.36,12
427,815,2874,2025-01-23,POS loan,292283.44,22.45,18
428,817,3829,2025-12-19,Cash loan,2853259.50,29.64,18
429,818,1774,2024-03-13,Micro loan,275473.12,43.07,6
430,820,4423,2026-02-16,Auto loan,13382246.81,17.03,36
431,821,2672,2025-10-02,Cash loan,1649050.28,23.35,18
432,823,585,2024-07-14,POS loan,313168.72,12.04,12
433,825,4536,2025-06-03,Credit card,1423998.28,25.25,24
434,827,3637,2024-02-04,Credit card,1425436.95,35.78,12
435,829,3316,2024-07-04,Micro loan,229732.17,32.54,6
436,830,2742,2025-04-12,Cash loan,2991958.62,28.30,12
437,831,4304,2024-02-29,Cash loan,1679164.69,21.36,12
438,832,4206,2025-10-01,Micro loan,248867.21,33.46,6
439,833,4237,2025-05-27,POS loan,603471.64,21.61,6
440,838,3706,2026-01-15,Micro loan,161940.10,29.11,3
441,841,4730,2024-11-26,Cash loan,1095843.64,20.87,36
442,842,4452,2026-02-07,Micro loan,124585.90,36.06,6
443,843,2716,2026-01-31,Cash loan,807719.63,23.95,36
444,844,3654,2025-08-15,Micro loan,208706.94,43.05,12
445,845,1747,2025-10-24,Cash loan,2051912.98,26.75,12
446,847,3808,2025-01-25,POS loan,123002.52,10.28,24
447,848,168,2026-04-09,Cash loan,295311.24,26.20,12
448,850,2923,2026-04-16,Micro loan,412474.07,29.38,3
449,853,3456,2024-07-16,Cash loan,2462376.87,28.95,12
450,860,4416,2025-05-23,Cash loan,2363147.99,31.72,18
451,861,2664,2025-04-11,Credit card,1490619.11,31.48,24
452,865,3149,2024-07-06,Credit card,1371007.92,25.30,36
