client_id,birth_date,gender,city,registration_date,income,employment_type,credit_score
31,2000-04-02,female,Astana,2024-02-21,964309.00,salaried,680
32,1985-09-28,female,Astana,2024-03-11,712496.00,salaried,561
33,1985-11-28,female,Almaty,2025-08-15,1113533.00,salaried,811
34,1985-10-03,male,Astana,2024-07-28,668177.00,self_employed,611
35,1982-06-08,male,Almaty,2024-11-19,856856.00,salaried,673
36,1965-02-01,female,Astana,2025-06-02,116209.00,retired,467
37,1997-06-03,male,Atyrau,2025-09-18,345409.00,salaried,744
38,1962-11-17,female,Almaty,2024-09-27,128480.00,student,433
39,2003-02-24,male,Astana,2024-07-27,814210.00,salaried,627
40,1981-05-17,male,Astana,2026-04-29,13316.00,unemployed,347
41,1996-01-11,male,Aktobe,2025-07-18,394680.00,self_employed,532
42,1980-09-01,female,Almaty,2025-01-13,271146.00,retired,506
43,1985-03-14,male,Almaty,2024-08-03,1122650.00,salaried,540
44,1982-11-04,female,Astana,2024-06-15,546117.00,self_employed,529
45,1962-03-14,female,Almaty,2024-09-30,946643.00,entrepreneur,710
46,2001-12-04,female,Astana,2026-04-16,673554.00,salaried,633
47,1966-06-10,female,Taraz,2025-02-12,58438.00,unemployed,312
48,1995-02-25,male,Almaty,2024-01-29,539093.00,self_employed,724
49,2003-05-06,male,Shymkent,2024-12-19,100028.00,retired,485
50,1979-06-14,female,Shymkent,2024-09-17,583906.00,salaried,815
51,2006-07-01,male,Astana,2025-03-17,230055.00,student,480
52,2005-11-11,male,Shymkent,2025-11-13,250679.00,self_employed,603
53,1992-07-23,female,Almaty,2025-09-22,620869.00,salaried,714
54,1986-07-18,male,Taraz,2025-04-21,400392.00,salaried,740
55,1990-11-07,female,Astana,2024-10-17,258673.00,student,466
56,1988-11-20,male,Almaty,2024-08-18,246906.00,student,500
57,1973-03-01,male,Almaty,2025-02-28,250241.00,retired,467
58,1968-10-07,female,Karaganda,2025-11-02,599066.00,salaried,644
59,1981-02-25,male,Astana,2024-02-21,1184500.00,salaried,785
60,1986-02-15,male,Almaty,2026-02-12,736932.00,salaried,806
61,1968-10-27,male,Karaganda,2024-06-11,1050914.00,salaried,800
62,1978-08-15,male,Almaty,2025-10-03,848636.00,salaried,661
63,1998-08-03,female,Karaganda,2024-05-21,532161.00,salaried,683
64,2001-07-23,male,Almaty,2025-07-09,615020.00,salaried,728
65,1990-01-07,female,Taraz,2026-02-22,987189.00,salaried,819
66,1986-08-01,female,Pavlodar,2025-05-14,588930.00,salaried,734
67,1999-07-16,female,Almaty,2025-04-23,892131.00,salaried,727
68,1966-10-18,female,Almaty,2025-10-20,771807.00,salaried,533
69,1991-08-06,male,Almaty,2024-12-11,401941.00,salaried,752
70,1976-07-09,male,Karaganda,2024-01-20,116131.00,student,421
71,1977-01-12,female,Almaty,2024-09-10,1183786.00,salaried,540
72,1999-01-20,female,Almaty,2025-04-21,881978.00,salaried,578
73,1981-06-06,female,Shymkent,2024-11-14,278313.00,retired,488
74,2003-01-10,female,Astana,2024-03-18,98384.00,unemployed,503
75,1985-11-08,female,Almaty,2024-12-21,1684995.00,entrepreneur,561
76,1987-11-12,male,Almaty,2024-04-18,133266.00,self_employed,665
77,1991-06-21,female,Atyrau,2026-01-21,340422.00,salaried,742
78,1988-11-09,male,Shymkent,2026-04-25,126745.00,unemployed,538
79,1979-05-11,male,Taraz,2024-09-06,72718.00,student,522
80,1977-10-20,female,Shymkent,2025-05-14,698317.00,salaried,686
81,1999-05-11,female,Almaty,2025-06-13,409688.00,self_employed,734
82,1964-02-08,male,Karaganda,2025-10-23,974993.00,salaried,643
83,1980-08-26,male,Almaty,2025-11-10,604045.00,salaried,644
84,1985-08-18,male,Astana,2024-12-26,962169.00,salaried,801
85,1980-05-10,female,Almaty,2026-01-30,381939.00,salaried,681
86,1987-12-06,male,Almaty,2024-04-12,829861.00,entrepreneur,768
87,1972-05-08,female,Astana,2024-10-07,922411.00,salaried,793
88,2006-01-18,female,Almaty,2024-01-13,257213.00,retired,681
89,1986-08-16,male,Astana,2024-04-26,233872.00,salaried,649
90,1972-07-16,female,Almaty,2026-04-10,176213.00,self_employed,527
91,1986-05-03,female,Semey,2026-03-05,981577.00,salaried,733
92,1987-08-15,female,Almaty,2025-09-16,569660.00,self_employed,606
93,1963-02-25,female,Almaty,2024-09-02,872509.00,salaried,561
94,2000-02-06,male,Almaty,2024-02-03,802656.00,salaried,760
95,1998-12-10,male,Karaganda,2026-03-17,900775.00,salaried,639
96,1974-10-22,female,Aktobe,2025-10-25,300351.00,salaried,798
97,2001-05-27,male,Almaty,2025-03-25,1011131.00,salaried,677
98,2002-12-10,male,Karaganda,2025-03-24,221195.00,retired,706
99,2004-01-14,female,Karaganda,2025-11-21,147121.00,self_employed,496
100,1971-10-19,female,Pavlodar,2026-02-20,266234.00,retired,567
101,1977-08-17,male,Shymkent,2025-10-12,47576.00,unemployed,599
102,1973-02-16,female,Astana,2024-12-03,882685.00,salaried,573
103,1992-08-10,female,Shymkent,2025-04-10,977441.00,salaried,801
104,2004-05-11,male,Almaty,2025-02-27,1329186.00,entrepreneur,500
105,2006-09-12,female,Shymkent,2024-09-30,643513.00,salaried,546
106,1987-05-15,female,Atyrau,2024-11-14,210271.00,salaried,642
107,1986-09-14,male,Almaty,2024-04-30,329319.00,retired,488
108,1983-03-16,male,Kostanay,2025-05-09,919677.00,salaried,659
109,1962-04-15,female,Astana,2024-03-12,1146648.00,salaried,780
110,1996-07-11,male,Kostanay,2026-01-13,1040408.00,salaried,521
111,1996-10-19,male,Semey,2024-12-19,335813.00,salaried,748
112,1994-09-13,male,Astana,2024-08-27,377816.00,salaried,642
113,1970-07-02,male,Almaty,2025-11-10,1137800.00,salaried,715
114,1974-11-05,female,Astana,2025-03-26,706690.00,salaried,689
115,2003-08-01,female,Karaganda,2025-04-25,866587.00,salaried,599
116,1975-05-11,male,Shymkent,2024-11-20,264216.00,salaried,688
117,1984-08-28,female,Astana,2026-02-03,366174.00,self_employed,597
118,2004-02-25,male,Shymkent,2024-01-30,116307.00,unemployed,385
119,2006-01-10,male,Astana,2025-08-02,436059.00,salaried,791
120,1982-03-06,male,Almaty,2025-08-20,521126.00,self_employed,573
121,2001-08-21,male,Almaty,2025-11-24,189853.00,salaried,758
122,1987-02-15,male,Pavlodar,2025-04-12,168421.00,retired,647
123,1971-04-13,male,Taraz,2025-08-11,579889.00,salaried,812
124,1996-12-10,female,Almaty,2025-08-02,153758.00,student,520
125,1970-12-02,female,Kostanay,2025-09-13,1996589.00,entrepreneur,646
126,1974-04-21,female,Almaty,2025-10-04,972280.00,salaried,590
127,1983-05-26,female,Astana,2024-10-29,887934.00,self_employed,517
128,1995-07-06,male,Almaty,2026-04-30,279758.00,student,567
129,2001-08-26,female,Almaty,2024-05-24,30191.00,unemployed,539
130,1977-04-28,male,Shymkent,2024-04-02,536716.00,self_employed,735
131,1975-01-09,male,Astana,2026-04-22,885511.00,salaried,654
132,1983-06-04,male,Shymkent,2025-09-16,829641.00,salaried,807
133,1999-02-21,female,Taraz,2024-05-23,79217.00,unemployed,509
134,2006-01-10,female,Semey,2025-02-01,426205.00,salaried,795
135,1990-11-24,male,Karaganda,2025-11-01,795870.00,salaried,599
136,2004-08-20,female,Astana,2025-03-30,98576.00,retired,619
137,1990-04-28,male,Astana,2024-03-03,186294.00,retired,708
138,1992-04-04,female,Pavlodar,2024-02-21,74031.00,student,488
139,1975-04-05,female,Aktobe,2025-08-23,1050127.00,salaried,803
140,1999-04-11,male,Aktobe,2024-05-28,206233.00,student,381
141,1961-09-09,female,Aktobe,2024-01-16,1088536.00,salaried,533
142,1993-04-19,male,Almaty,2025-06-22,234944.00,salaried,584
143,2003-02-16,male,Astana,2025-05-30,802503.00,salaried,575
144,1998-10-02,male,Karaganda,2025-04-14,172727.00,unemployed,566
145,1983-01-02,male,Semey,2025-12-30,161745.00,student,435
146,1967-02-03,male,Almaty,2025-01-25,312321.00,salaried,660
147,1961-09-10,female,Astana,2025-03-16,223996.00,self_employed,508
148,1990-04-14,male,Almaty,2025-03-13,616196.00,salaried,568
149,1995-05-12,female,Pavlodar,2024-03-28,617305.00,self_employed,484
150,2004-02-24,male,Karaganda,2025-11-17,195849.00,student,410
151,2002-06-28,male,Shymkent,2025-09-06,1762173.00,entrepreneur,526
152,1995-02-19,female,Astana,2024-12-24,685612.00,salaried,634
153,1971-06-04,female,Aktobe,2025-09-15,569956.00,self_employed,737
154,1965-12-09,male,Almaty,2024-12-25,979444.00,salaried,678
155,2008-03-19,female,Shymkent,2026-02-03,956962.00,salaried,535
156,1987-07-14,female,Astana,2024-02-23,506775.00,salaried,686
157,2001-10-02,male,Shymkent,2025-09-13,874093.00,salaried,737
158,1990-05-07,male,Karaganda,2025-11-25,630797.00,salaried,576
159,1982-08-17,female,Shymkent,2024-07-28,594463.00,salaried,548
160,1996-04-25,female,Almaty,2025-05-24,524061.00,salaried,581
161,1977-03-05,female,Astana,2025-02-10,1299126.00,entrepreneur,681
162,1970-01-14,male,Almaty,2025-08-10,82066.00,unemployed,594
163,1992-11-14,female,Almaty,2026-03-31,1193133.00,salaried,686
164,1964-08-27,female,Shymkent,2025-03-22,637925.00,salaried,574
165,1985-09-03,male,Astana,2026-03-08,536005.00,salaried,633
166,2000-09-21,male,Almaty,2026-01-14,1129928.00,salaried,698
167,1963-11-27,female,Almaty,2025-09-08,448402.00,salaried,621
168,2001-11-03,male,Almaty,2025-11-28,1286238.00,entrepreneur,737
169,1966-10-21,female,Shymkent,2025-03-26,777685.00,self_employed,611
170,2005-08-21,female,Almaty,2024-11-13,238900.00,salaried,700
171,1990-01-02,male,Astana,2025-04-18,855981.00,salaried,566
172,1985-12-02,male,Astana,2025-09-11,220875.00,student,476
173,1989-03-02,female,Astana,2025-05-31,269513.00,student,555
174,1983-01-08,female,Karaganda,2025-01-07,227381.00,retired,697
175,1993-05-13,male,Astana,2024-03-08,806928.00,salaried,546
176,1995-09-22,male,Astana,2024-03-24,1072931.00,salaried,596
177,1985-03-12,female,Almaty,2025-09-01,814299.00,self_employed,650
178,1980-02-10,female,Astana,2025-10-23,464432.00,self_employed,515
179,1982-09-12,male,Almaty,2026-02-23,1177373.00,salaried,629
180,1989-04-05,female,Almaty,2025-11-08,1006403.00,salaried,571
181,1994-10-05,male,Shymkent,2024-02-14,369630.00,salaried,604
182,1992-11-24,female,Almaty,2025-06-30,478768.00,salaried,749
183,1998-08-27,male,Almaty,2026-02-26,718128.00,self_employed,675
184,1996-07-17,female,Astana,2024-09-13,304143.00,retired,532
185,2006-08-28,female,Astana,2024-10-18,276489.00,retired,694
186,2004-03-09,female,Astana,2024-08-15,1051415.00,salaried,743
187,1973-06-01,male,Astana,2024-03-24,572127.00,salaried,640
188,1993-01-11,female,Kostanay,2024-05-20,220383.00,student,551
189,2007-08-23,female,Taraz,2024-03-22,1233795.00,entrepreneur,729
190,2008-04-27,male,Almaty,2024-04-23,249614.00,retired,700
191,1975-04-10,female,Almaty,2024-04-23,849989.00,salaried,754
192,1971-08-20,female,Astana,2024-10-25,722980.00,self_employed,573
193,1991-10-12,male,Almaty,2024-03-10,876643.00,salaried,563
194,1964-09-17,male,Aktobe,2024-02-14,201322.00,salaried,719
195,1983-06-09,female,Karaganda,2026-01-20,250841.00,salaried,696
196,1983-02-25,male,Shymkent,2025-07-13,529780.00,entrepreneur,522
197,1994-11-06,female,Taraz,2026-04-10,849168.00,self_employed,695
198,2002-12-25,female,Pavlodar,2024-02-12,391383.00,salaried,542
199,1995-05-17,female,Astana,2026-02-10,174098.00,student,509
200,1983-05-12,male,Taraz,2024-05-07,867584.00,salaried,689
201,1974-07-13,female,Karaganda,2025-05-23,101356.00,unemployed,473
202,1981-06-26,female,Astana,2025-03-16,240600.00,student,597
203,1985-03-18,male,Almaty,2025-04-01,523848.00,salaried,671
204,1985-07-06,male,Shymkent,2024-10-08,224412.00,salaried,700
205,1983-01-03,female,Shymkent,2024-05-26,718009.00,salaried,601
206,1971-11-26,male,Astana,2025-01-27,427459.00,salaried,707
207,1964-01-20,male,Almaty,2026-02-20,568984.00,salaried,710
208,2005-03-17,female,Astana,2024-01-27,472227.00,salaried,647
209,1978-08-17,male,Astana,2024-08-07,394492.00,self_employed,583
210,1961-05-23,female,Kostanay,2025-04-07,308594.00,salaried,589
211,2000-12-15,male,Semey,2025-12-27,271648.00,student,543
212,2005-09-10,male,Atyrau,2025-06-04,236596.00,student,469
213,1998-04-26,male,Almaty,2025-04-23,56890.00,student,564
214,1974-09-05,male,Shymkent,2025-06-22,504314.00,salaried,723
215,1992-07-27,male,Astana,2025-04-22,512427.00,salaried,557
216,1982-06-05,female,Atyrau,2026-02-25,217718.00,student,680
217,1963-07-17,female,Kostanay,2024-11-07,310192.00,salaried,785
218,2001-06-23,female,Almaty,2024-09-13,226025.00,retired,575
219,1999-09-09,female,Almaty,2025-08-29,739392.00,salaried,567
220,1964-03-06,female,Shymkent,2026-04-25,1519068.00,entrepreneur,672
221,1970-02-02,male,Pavlodar,2025-09-24,805023.00,entrepreneur,607
222,1983-08-21,female,Astana,2026-04-04,436768.00,self_employed,697
223,1973-07-10,male,Astana,2025-05-10,285759.00,self_employed,675
224,1990-06-20,male,Almaty,2024-05-13,83706.00,unemployed,476
225,1977-09-18,male,Almaty,2024-09-10,308473.00,salaried,656
226,2001-01-10,female,Pavlodar,2026-04-13,109611.00,unemployed,427
227,1995-10-24,male,Almaty,2025-05-25,1294938.00,entrepreneur,763
228,1969-08-01,female,Almaty,2025-08-20,659441.00,salaried,643
229,1994-01-10,male,Astana,2025-07-03,171510.00,unemployed,540
230,2008-02-14,male,Almaty,2024-02-16,563545.00,salaried,726
231,1992-10-18,male,Almaty,2026-02-21,197103.00,self_employed,647
232,1986-10-22,male,Shymkent,2026-03-24,281377.00,salaried,721
233,1961-09-12,female,Karaganda,2024-02-16,713853.00,salaried,725
234,2007-12-11,female,Aktobe,2024-12-01,336175.00,salaried,783
235,1965-06-06,male,Astana,2025-12-26,433769.00,self_employed,622
236,1986-08-27,male,Almaty,2026-03-26,294928.00,salaried,733
237,1967-12-21,female,Almaty,2026-01-08,1194047.00,salaried,816
238,2006-08-06,female,Astana,2026-04-21,1874466.00,entrepreneur,694
239,1982-01-19,male,Pavlodar,2025-03-04,199857.00,salaried,745
240,2001-12-07,female,Astana,2025-06-15,1239028.00,entrepreneur,531
241,1999-06-22,male,Astana,2025-06-29,1183157.00,salaried,608
242,1994-06-22,male,Aktobe,2024-07-15,1599116.00,entrepreneur,635
243,1963-05-18,male,Almaty,2025-12-22,347493.00,retired,582
244,1999-12-16,male,Almaty,2024-05-04,1159055.00,salaried,660
245,1986-09-13,male,Atyrau,2024-02-13,541899.00,salaried,594
246,1996-12-03,female,Astana,2024-07-25,448900.00,salaried,765
247,1972-05-18,female,Karaganda,2024-09-05,825584.00,salaried,820
248,2006-09-08,male,Shymkent,2024-04-12,613377.00,salaried,689
249,1982-03-01,male,Pavlodar,2025-05-03,131403.00,retired,638
250,1983-05-11,female,Almaty,2025-07-01,986066.00,salaried,565
251,1978-01-06,male,Astana,2024-07-09,59526.00,student,583
252,1965-05-02,male,Almaty,2025-04-10,232512.00,self_employed,621
253,1961-09-17,male,Astana,2024-10-06,313100.00,retired,688
254,2000-02-11,female,Almaty,2026-01-24,449761.00,salaried,615
255,1994-05-19,male,Shymkent,2025-06-11,820632.00,salaried,727
256,1995-07-22,female,Almaty,2024-01-07,215161.00,retired,595
257,1997-04-15,male,Karaganda,2025-10-31,169153.00,retired,435
258,1993-04-02,male,Shymkent,2025-12-07,347475.00,salaried,727
259,2003-05-12,female,Shymkent,2025-04-10,320057.00,salaried,764
260,1977-10-12,female,Astana,2026-02-19,673699.00,salaried,795
261,1998-10-28,female,Aktobe,2025-07-31,733829.00,salaried,705
262,2003-09-17,male,Almaty,2024-04-29,352529.00,salaried,687
263,1982-12-19,male,Astana,2024-05-15,116780.00,unemployed,328
264,1988-08-19,female,Almaty,2025-02-09,1026112.00,salaried,677
265,1997-01-24,female,Almaty,2025-07-08,624278.00,salaried,696
266,1961-02-16,male,Almaty,2025-01-18,986325.00,salaried,589
267,1961-07-15,female,Taraz,2025-10-31,98473.00,unemployed,341
268,1970-02-06,female,Semey,2026-02-13,313533.00,salaried,634
269,2007-05-15,female,Shymkent,2024-09-10,737772.00,salaried,714
270,1990-03-09,male,Almaty,2025-09-21,29581.00,unemployed,316
271,1976-01-08,female,Almaty,2024-09-07,215207.00,salaried,748
272,1978-07-15,female,Almaty,2025-05-30,1085686.00,salaried,548
273,1961-04-27,female,Kostanay,2024-11-05,725526.00,self_employed,614
274,1969-11-17,female,Almaty,2025-10-03,243918.00,salaried,805
275,1982-09-16,male,Almaty,2025-12-14,854565.00,salaried,715
276,1991-03-10,female,Astana,2024-11-03,1243040.00,entrepreneur,623
277,1970-03-26,female,Astana,2025-02-01,612723.00,salaried,733
278,1998-04-11,female,Shymkent,2024-02-22,97275.00,unemployed,347
279,1997-11-20,female,Shymkent,2025-05-05,49325.00,unemployed,600
280,1999-06-10,female,Pavlodar,2026-02-03,1162683.00,salaried,617
281,1961-08-08,male,Karaganda,2026-03-05,1081797.00,entrepreneur,622
282,1996-08-18,male,Shymkent,2025-04-22,557114.00,salaried,782
283,2004-12-16,male,Aktobe,2025-02-27,392994.00,salaried,709
284,2006-04-24,male,Almaty,2024-10-29,1160165.00,salaried,819
285,2001-06-08,male,Astana,2024-09-20,180888.00,student,661
286,1976-08-24,female,Shymkent,2024-05-23,356405.00,salaried,700
287,1979-08-06,female,Kostanay,2024-03-17,852985.00,salaried,550
288,1964-11-02,female,Aktobe,2025-12-25,1063472.00,salaried,638
289,2001-04-17,male,Astana,2024-01-17,848706.00,salaried,767
290,2008-09-14,male,Almaty,2024-01-18,468086.00,salaried,794
291,1988-12-22,female,Astana,2025-06-20,136993.00,retired,484
292,2001-04-20,female,Astana,2025-01-17,120077.00,student,583
293,1963-08-19,female,Almaty,2024-04-05,434546.00,self_employed,491
294,1992-07-18,female,Astana,2025-05-26,856986.00,self_employed,537
295,1971-11-26,female,Almaty,2024-08-23,345286.00,retired,478
296,1999-12-19,female,Astana,2024-07-02,257959.00,salaried,663
297,1965-06-01,female,Pavlodar,2024-11-02,867332.00,self_employed,653
298,2001-04-19,male,Taraz,2025-01-28,1120075.00,salaried,796
299,1977-03-26,female,Semey,2024-04-10,1300238.00,entrepreneur,677
300,1991-02-11,male,Shymkent,2024-01-31,744540.00,self_employed,653
301,1983-08-16,female,Almaty,2025-11-27,513663.00,self_employed,671
302,1985-07-03,female,Aktobe,2024-10-01,438421.00,salaried,557
303,2001-12-26,female,Shymkent,2024-04-03,914122.00,entrepreneur,684
304,2008-05-15,female,Astana,2025-03-17,318943.00,salaried,564
305,1990-09-17,female,Astana,2025-09-03,551106.00,salaried,803
306,1985-06-28,female,Astana,2025-08-08,586637.00,salaried,563
307,1988-11-13,female,Almaty,2024-03-05,461444.00,salaried,772
308,2000-05-14,female,Almaty,2026-01-08,144666.00,student,508
309,1984-10-20,male,Almaty,2024-12-06,499457.00,salaried,523
310,1971-07-26,male,Taraz,2024-11-24,631533.00,salaried,589
311,1985-12-07,male,Astana,2026-01-22,597584.00,salaried,683
312,1981-08-19,male,Aktobe,2024-04-26,473916.00,salaried,721
313,1965-04-19,female,Semey,2026-01-14,984905.00,salaried,801
314,1990-12-07,male,Astana,2025-11-20,906490.00,salaried,555
315,1988-11-10,male,Almaty,2024-03-16,869979.00,self_employed,666
316,1990-10-16,female,Shymkent,2026-03-20,1148355.00,salaried,734
317,1963-12-26,female,Astana,2025-11-04,209110.00,self_employed,505
318,1982-03-21,male,Shymkent,2026-03-26,796364.00,self_employed,654
319,1991-01-04,female,Almaty,2025-04-01,723998.00,salaried,805
320,1993-08-25,female,Shymkent,2025-05-09,278067.00,self_employed,626
321,2003-07-03,male,Almaty,2024-12-17,127139.00,retired,608
322,1990-04-17,male,Astana,2024-03-09,639450.00,salaried,751
323,1996-12-04,female,Almaty,2025-06-12,294675.00,salaried,604
324,2000-03-11,female,Astana,2024-07-09,150779.00,retired,637
325,1983-07-13,male,Almaty,2025-02-02,326909.00,self_employed,680
326,2008-04-07,female,Almaty,2026-03-29,1919349.00,entrepreneur,532
327,1969-03-12,male,Almaty,2025-09-03,455097.00,salaried,770
328,1992-07-19,male,Almaty,2025-09-21,660101.00,salaried,608
329,1985-11-05,male,Almaty,2025-12-11,302629.00,salaried,613
330,2001-07-14,male,Shymkent,2025-10-12,563588.00,self_employed,545
331,1987-11-06,male,Astana,2025-04-06,327111.00,salaried,615
332,1984-06-01,male,Astana,2025-02-22,582594.00,salaried,807
333,1982-07-23,female,Taraz,2026-03-25,266686.00,salaried,809
334,1977-05-02,male,Almaty,2025-07-16,356379.00,salaried,754
335,1988-10-04,female,Almaty,2026-02-17,564682.00,salaried,797
336,1979-09-07,male,Semey,2024-02-03,1050392.00,salaried,646
337,1990-06-28,female,Aktobe,2026-04-10,303088.00,salaried,641
338,1978-12-12,female,Taraz,2026-03-14,568965.00,self_employed,534
339,1999-04-26,female,Almaty,2024-11-27,474739.00,salaried,795
340,1962-05-10,female,Astana,2026-02-07,224850.00,retired,478
341,1975-01-09,female,Taraz,2024-05-29,1088149.00,salaried,587
342,1980-04-25,male,Taraz,2025-10-04,329077.00,salaried,815
343,1991-08-03,male,Shymkent,2025-12-12,24404.00,unemployed,506
344,1965-06-15,male,Pavlodar,2025-10-12,182593.00,salaried,567
345,1982-06-28,female,Almaty,2025-05-21,408411.00,salaried,739
346,1997-05-11,male,Astana,2025-11-29,1073829.00,salaried,768
347,1976-01-04,female,Shymkent,2025-03-27,54268.00,student,443
348,1990-07-07,female,Semey,2024-10-07,170392.00,unemployed,454
349,2004-06-09,female,Almaty,2025-02-09,800432.00,self_employed,534
350,1984-12-23,female,Karaganda,2024-08-06,275629.00,salaried,568
351,1989-03-19,male,Almaty,2026-04-16,129738.00,self_employed,454
352,2002-07-23,female,Almaty,2024-04-15,581677.00,salaried,565
353,1995-05-05,female,Astana,2024-03-11,279244.00,student,448
354,1987-01-20,female,Shymkent,2025-02-25,937524.00,salaried,629
355,1984-08-28,male,Almaty,2024-12-25,36703.00,unemployed,363
356,1963-06-26,male,Almaty,2026-03-08,268341.00,salaried,647
357,1964-01-28,female,Taraz,2026-02-04,53856.00,unemployed,565
358,1992-11-02,male,Aktobe,2024-04-25,112741.00,student,633
359,1998-11-20,male,Almaty,2024-05-15,3163.00,unemployed,484
360,1992-10-14,female,Astana,2025-08-24,613894.00,self_employed,487
361,2005-05-07,male,Almaty,2025-10-05,1007630.00,salaried,723
362,1980-07-14,female,Karaganda,2024-10-11,742628.00,salaried,795
363,2004-02-17,male,Kostanay,2025-02-04,130731.00,retired,704
364,1985-11-22,female,Shymkent,2024-09-07,638737.00,salaried,642
365,2004-07-04,female,Astana,2024-01-13,444314.00,self_employed,539
366,1980-12-01,male,Almaty,2024-06-19,227102.00,retired,694
367,1993-12-25,male,Atyrau,2026-04-06,497582.00,entrepreneur,515
368,1991-09-03,male,Almaty,2025-04-11,254503.00,retired,469
369,1988-01-16,female,Taraz,2025-08-10,344951.00,salaried,650
370,1982-02-08,female,Karaganda,2024-02-17,1080400.00,salaried,526
371,1989-07-05,male,Almaty,2024-08-17,99270.00,retired,713
372,1995-07-24,female,Almaty,2025-05-29,199824.00,student,570
373,1982-01-06,female,Almaty,2025-04-21,228159.00,salaried,725
374,1969-05-11,male,Almaty,2025-07-31,566839.00,salaried,622
375,1975-12-20,female,Almaty,2026-01-20,1199066.00,salaried,772
376,1967-04-05,male,Almaty,2025-10-13,424315.00,salaried,797
377,1971-01-11,female,Almaty,2024-07-29,893935.00,self_employed,607
378,1987-04-14,female,Astana,2024-02-14,329289.00,salaried,663
379,1966-09-14,female,Karaganda,2025-06-01,964229.00,salaried,563
380,2002-07-03,female,Shymkent,2024-10-25,874622.00,salaried,586
381,1997-06-26,male,Astana,2024-10-05,135524.00,student,542
382,1998-04-05,female,Aktobe,2025-04-05,282959.00,self_employed,504
383,1990-07-04,male,Astana,2025-04-19,144430.00,retired,661
384,1997-02-03,female,Almaty,2024-12-01,858936.00,self_employed,470
385,2001-12-08,male,Pavlodar,2026-04-19,231328.00,salaried,673
386,1961-01-13,female,Taraz,2025-04-18,696843.00,self_employed,577
387,2003-03-04,female,Almaty,2026-04-23,108271.00,student,446
388,1992-11-21,female,Kostanay,2024-01-23,794590.00,salaried,652
389,1961-04-21,female,Astana,2024-02-13,1129043.00,salaried,689
390,1964-01-06,male,Kostanay,2024-01-31,939620.00,salaried,722
391,1993-07-06,male,Astana,2024-06-01,72084.00,unemployed,443
392,2007-10-20,male,Almaty,2024-03-03,612005.00,salaried,801
393,2004-07-05,female,Astana,2025-01-26,671356.00,self_employed,577
394,1975-06-16,male,Astana,2025-02-01,1137011.00,salaried,809
395,1997-01-11,female,Shymkent,2026-04-08,1030069.00,salaried,663
396,1961-09-12,female,Aktobe,2024-09-10,345322.00,retired,511
397,1983-05-18,male,Aktobe,2024-12-29,14656.00,unemployed,412
398,1965-03-06,female,Almaty,2025-12-21,953959.00,salaried,703
399,1981-10-19,male,Almaty,2024-06-28,309335.00,retired,682
400,1989-02-02,female,Almaty,2024-12-05,732021.00,salaried,764
401,1966-04-26,female,Almaty,2024-01-23,1932806.00,entrepreneur,665
402,2001-12-05,female,Aktobe,2025-01-17,275619.00,student,566
403,1980-11-13,female,Shymkent,2026-01-19,518273.00,salaried,589
404,1964-11-16,male,Shymkent,2024-08-16,1195800.00,salaried,807
405,1982-03-13,female,Almaty,2025-12-19,253534.00,self_employed,540
