application_id,client_id,application_date,product_name,requested_amount,status
90,1284,2025-02-24,Credit card,749703.00,approved
91,4087,2024-09-29,POS loan,804840.00,approved
92,3727,2025-12-01,Cash loan,2330705.00,approved
93,81,2024-05-05,Micro loan,400590.00,approved
94,404,2025-06-22,Credit card,1232130.00,approved
95,3303,2026-01-27,Cash loan,1620606.00,rejected
96,2773,2025-07-09,Cash loan,200238.00,approved
97,87,2024-04-21,Cash loan,2841694.00,approved
98,3445,2025-05-13,Credit card,1785513.00,rejected
99,2078,2025-05-26,POS loan,494901.00,approved
100,4490,2025-03-13,POS loan,855510.00,approved
101,2423,2025-02-01,Auto loan,6064060.00,rejected
102,1917,2024-11-03,Micro loan,494189.00,approved
103,4703,2025-02-22,Micro loan,238281.00,pending
104,4729,2024-05-31,Cash loan,3054113.00,approved
105,1395,2025-05-29,Cash loan,461488.00,approved
106,1486,2024-08-11,POS loan,483556.00,approved
107,4086,2024-09-07,Cash loan,1463750.00,approved
108,1349,2024-04-28,Credit card,118188.00,approved
109,32,2024-09-15,POS loan,923901.00,approved
110,3918,2025-10-18,Credit card,443608.00,approved
111,2210,2024-12-29,Micro loan,540459.00,approved
112,3357,2025-01-21,Cash loan,2384025.00,pending
113,2598,2025-08-17,Cash loan,2484758.00,approved
114,2442,2025-05-11,Micro loan,273108.00,rejected
115,2989,2024-07-28,Credit card,1453804.00,rejected
116,2868,2025-06-20,POS loan,677968.00,approved
117,4880,2025-11-30,Credit card,1994059.00,rejected
118,2968,2025-04-08,Cash loan,624927.00,pending
119,4385,2024-09-16,Micro loan,306767.00,rejected
120,4923,2025-02-03,Cash loan,1975112.00,rejected
121,4625,2024-11-23,Cash loan,2158618.00,approved
122,3906,2025-05-09,Cash loan,1989572.00,rejected
123,651,2024-05-25,Cash loan,1299931.00,rejected
124,3641,2025-01-13,POS loan,202479.00,pending
125,667,2025-07-15,Auto loan,15968817.00,rejected
126,2721,2025-01-17,POS loan,1177987.00,pending
127,1810,2024-05-09,Auto loan,15656246.00,rejected
128,234,2024-03-02,POS loan,75785.00,approved
129,2873,2026-01-27,Cash loan,1115171.00,approved
130,4510,2025-01-08,Cash loan,1502745.00,rejected
131,551,2025-08-08,Cash loan,1420525.00,rejected
132,2380,2025-02-22,Cash loan,2908627.00,rejected
133,3845,2024-04-15,Micro loan,227597.00,approved
134,2024,2024-02-26,Auto loan,14801058.00,approved
135,1940,2024-07-26,POS loan,458418.00,rejected
136,3019,2025-09-19,Micro loan,359010.00,pending
137,4795,2025-11-17,Credit card,1296051.00,approved
138,1282,2025-05-30,Cash loan,3102479.00,approved
139,3305,2024-01-01,Credit card,1274699.00,approved
140,2665,2025-10-10,POS loan,356813.00,pending
141,3901,2024-07-13,POS loan,941128.00,rejected
142,4817,2025-04-25,POS loan,1131021.00,rejected
143,3583,2025-01-29,POS loan,1097565.00,rejected
144,4085,2025-05-30,Micro loan,381248.00,rejected
145,453,2025-12-03,Credit card,681836.00,rejected
146,380,2025-03-30,Auto loan,12076419.00,approved
147,4996,2026-01-16,Micro loan,58523.00,approved
148,142,2025-03-28,Credit card,1590383.00,approved
149,1209,2025-02-18,POS loan,990864.00,pending
150,2832,2024-10-23,POS loan,82924.00,approved
151,2493,2025-11-17,Cash loan,1623160.00,rejected
152,992,2024-03-10,POS loan,720014.00,approved
153,4515,2026-02-28,Micro loan,493786.00,approved
154,2587,2025-07-20,Cash loan,2625941.00,approved
155,4531,2025-04-16,Credit card,1161202.00,approved
156,2492,2024-01-08,POS loan,711490.00,pending
157,4511,2026-04-05,Cash loan,971230.00,approved
158,2775,2025-09-25,Credit card,397659.00,approved
159,1778,2025-09-26,Micro loan,64851.00,rejected
160,197,2024-12-23,Cash loan,946422.00,approved
161,3349,2025-09-12,POS loan,430995.00,approved
162,1053,2025-07-01,Cash loan,1777921.00,approved
163,4529,2025-04-05,Auto loan,15890594.00,rejected
164,3961,2025-06-17,Micro loan,265294.00,approved
165,4561,2026-02-28,Cash loan,1361253.00,rejected
166,4699,2024-06-23,Cash loan,1084049.00,approved
167,3928,2024-09-04,Cash loan,1937208.00,approved
168,4640,2024-02-06,Micro loan,584887.00,approved
169,1768,2024-02-04,POS loan,596946.00,approved
170,4112,2024-07-28,Micro loan,475699.00,approved
171,4227,2024-05-06,POS loan,389493.00,approved
172,3234,2025-03-11,POS loan,917724.00,approved
173,3270,2025-05-01,POS loan,783785.00,approved
174,3678,2026-03-14,Cash loan,3310005.00,approved
175,2381,2024-04-12,Micro loan,363920.00,rejected
176,3621,2025-05-07,Micro loan,167194.00,rejected
177,98,2024-10-27,Cash loan,1526610.00,rejected
178,4368,2025-10-28,Credit card,1153175.00,approved
179,212,2025-10-05,Credit card,771417.00,pending
180,4331,2025-04-03,Cash loan,1587019.00,approved
181,2392,2026-02-13,POS loan,1041178.00,pending
182,381,2025-06-23,Cash loan,1358504.00,pending
183,135,2026-03-23,Cash loan,1701257.00,approved
184,3825,2026-01-22,Micro loan,347692.00,approved
185,958,2025-02-19,POS loan,1146804.00,rejected
186,3508,2026-02-23,Credit card,340292.00,approved
187,3005,2025-10-06,POS loan,965880.00,approved
188,2331,2024-01-18,Auto loan,9389535.00,rejected
189,2919,2024-02-16,Cash loan,1458158.00,approved
190,2465,2024-02-04,Micro loan,174471.00,approved
191,3913,2024-01-24,POS loan,127883.00,pending
192,3150,2024-11-13,Credit card,745399.00,approved
193,2721,2025-03-23,Credit card,1650009.00,pending
194,4147,2024-02-11,Micro loan,266206.00,pending
195,3226,2024-08-04,Credit card,946095.00,approved
196,1148,2024-06-17,Cash loan,1514018.00,pending
197,797,2025-05-11,Cash loan,3209952.00,approved
198,2863,2024-03-07,Auto loan,14965301.00,approved
199,1508,2024-09-23,Cash loan,2817793.00,approved
200,3334,2025-02-15,Auto loan,13260758.00,approved
201,333,2026-01-17,Cash loan,1647223.00,approved
202,4496,2024-01-19,Cash loan,3187820.00,approved
203,4455,2026-03-29,Auto loan,10318398.00,rejected
204,2591,2024-04-16,Cash loan,3033268.00,rejected
205,897,2026-01-26,POS loan,1102690.00,pending
206,1727,2024-03-16,POS loan,79174.00,rejected
207,4105,2024-04-28,Micro loan,456021.00,pending
208,4596,2024-04-15,Cash loan,224735.00,approved
209,4470,2024-10-28,POS loan,277712.00,approved
210,4502,2024-04-08,POS loan,262122.00,rejected
211,2667,2024-09-24,Micro loan,433759.00,rejected
212,3029,2025-03-25,Cash loan,799226.00,rejected
213,1795,2025-03-07,Cash loan,2001261.00,approved
214,4101,2025-04-08,POS loan,389319.00,rejected
215,4785,2024-12-29,Micro loan,354093.00,approved
216,2981,2024-02-08,Credit card,1423030.00,approved
217,4142,2025-09-23,Auto loan,4008786.00,rejected
218,1897,2025-10-29,Cash loan,3331147.00,approved
219,4064,2024-04-06,Micro loan,68611.00,rejected
220,1414,2025-01-26,Micro loan,116492.00,approved
221,2069,2025-04-03,Cash loan,1900671.00,approved
222,2171,2024-09-25,Auto loan,8207218.00,approved
223,2141,2024-10-17,Micro loan,554524.00,rejected
224,1176,2025-09-05,Micro loan,464202.00,rejected
225,2342,2026-01-15,Micro loan,299433.00,approved
226,4697,2026-03-28,Micro loan,259842.00,pending
227,3793,2025-07-25,Cash loan,2645347.00,approved
228,3511,2024-05-18,Cash loan,944194.00,rejected
229,1576,2025-03-30,Cash loan,1794909.00,pending
230,1350,2024-11-15,Micro loan,528306.00,approved
231,20,2025-12-22,Micro loan,324983.00,pending
232,992,2024-11-14,POS loan,616777.00,approved
233,1396,2025-03-21,Credit card,499161.00,approved
234,2314,2024-06-07,POS loan,766149.00,approved
235,4563,2024-07-21,Cash loan,1954567.00,rejected
236,724,2024-07-31,Credit card,357700.00,approved
237,2950,2024-12-18,Cash loan,187303.00,approved
238,2881,2024-10-06,Micro loan,409613.00,rejected
239,3943,2024-12-13,Cash loan,1835955.00,rejected
240,4124,2025-10-15,Cash loan,1298695.00,approved
241,4306,2024-06-25,Credit card,1019814.00,approved
242,589,2024-06-03,POS loan,481010.00,approved
243,1511,2025-11-03,Credit card,1124905.00,approved
244,863,2026-01-20,Auto loan,4540844.00,approved
245,1298,2025-04-07,Cash loan,798653.00,pending
246,1028,2025-04-04,POS loan,950820.00,approved
247,3559,2025-09-21,POS loan,1112436.00,pending
248,1013,2025-08-17,Credit card,714249.00,approved
249,4403,2025-04-02,Credit card,1060085.00,rejected
250,4781,2025-12-03,Cash loan,2562470.00,rejected
251,4974,2025-09-17,Cash loan,455864.00,approved
252,4006,2024-12-20,Credit card,1137890.00,approved
253,3304,2025-02-22,POS loan,59598.00,rejected
254,2707,2024-08-23,POS loan,936449.00,rejected
255,4108,2024-08-02,Auto loan,2532652.00,rejected
256,3251,2024-05-06,Micro loan,246418.00,rejected
257,3963,2025-04-05,Credit card,816268.00,approved
258,338,2024-07-31,Credit card,1219903.00,approved
259,1636,2024-04-14,Credit card,1768260.00,rejected
260,786,2025-06-08,Cash loan,1819387.00,approved
261,4429,2026-04-17,Cash loan,1196608.00,approved
262,4406,2024-02-29,Micro loan,262869.00,approved
263,2994,2024-07-17,Cash loan,1633153.00,rejected
264,1975,2025-07-30,POS loan,247650.00,approved
265,2016,2024-09-23,Micro loan,362944.00,rejected
266,692,2024-01-23,Credit card,1725083.00,approved
267,4097,2025-03-06,Micro loan,277128.00,rejected
268,2894,2024-03-02,Cash loan,308852.00,pending
269,3362,2025-10-30,Cash loan,752098.00,approved
270,4051,2025-07-19,Credit card,376462.00,approved
271,2760,2024-04-17,Credit card,1253983.00,rejected
272,1200,2025-03-12,Micro loan,134122.00,pending
273,2005,2024-12-11,Cash loan,1894038.00,approved
274,495,2025-06-26,Cash loan,474582.00,approved
275,3933,2025-09-20,Micro loan,550533.00,rejected
276,145,2025-02-08,Cash loan,2730035.00,pending
277,527,2024-02-08,Credit card,1383009.00,approved
278,2899,2024-07-07,Micro loan,473182.00,approved
279,3428,2025-01-18,Cash loan,2387237.00,approved
280,4525,2024-04-05,Auto loan,11347477.00,rejected
281,1344,2024-04-26,Cash loan,2006083.00,rejected
282,3859,2024-07-19,Cash loan,3026888.00,pending
283,678,2024-10-14,Auto loan,11706692.00,approved
284,83,2025-09-09,Micro loan,192585.00,approved
285,427,2024-12-15,Micro loan,440152.00,approved
286,325,2025-05-08,Cash loan,893529.00,rejected
287,2331,2025-05-19,Cash loan,1518879.00,rejected
288,3678,2025-09-30,Credit card,1220426.00,approved
289,1408,2024-03-05,Cash loan,2087123.00,approved
290,961,2024-12-04,Micro loan,190092.00,approved
291,1698,2024-06-26,Cash loan,2052175.00,approved
292,1431,2026-02-28,POS loan,127956.00,approved
293,4856,2025-11-17,Micro loan,290908.00,approved
294,2423,2025-05-16,Auto loan,8171130.00,approved
295,699,2025-06-02,Credit card,1751321.00,approved
296,4917,2024-10-01,POS loan,159286.00,approved
297,4703,2024-06-26,Auto loan,6523076.00,pending
298,1776,2025-02-13,POS loan,1147315.00,approved
299,2871,2025-01-03,Micro loan,413259.00,approved
300,2295,2024-12-10,Credit card,1231754.00,approved
301,317,2024-01-14,Micro loan,554079.00,pending
302,257,2025-09-23,Credit card,1634582.00,rejected
303,3636,2026-03-19,Cash loan,2793037.00,pending
304,1860,2026-02-23,POS loan,1099255.00,approved
305,1581,2024-08-02,Cash loan,3326608.00,rejected
306,3446,2025-08-17,POS loan,88559.00,approved
307,684,2024-11-15,POS loan,240075.00,pending
308,1638,2024-08-01,POS loan,64962.00,approved
309,3562,2024-06-19,Micro loan,431832.00,approved
310,4646,2024-07-31,Cash loan,1776292.00,rejected
311,1069,2026-02-17,POS loan,525457.00,approved
312,3106,2024-04-06,Cash loan,2455753.00,pending
313,1559,2024-04-17,Cash loan,2143799.00,approved
314,3678,2024-05-03,Credit card,1320715.00,approved
315,3811,2026-01-26,Cash loan,1552781.00,pending
316,4946,2025-11-12,Credit card,859124.00,approved
317,603,2025-09-04,Micro loan,42178.00,approved
318,2726,2025-02-26,Auto loan,15386957.00,rejected
319,2934,2024-06-10,Micro loan,266800.00,rejected
320,3024,2024-03-30,POS loan,956385.00,approved
321,1492,2024-09-27,Cash loan,2885357.00,pending
322,1230,2025-12-22,Cash loan,2361472.00,approved
323,3084,2025-05-05,Micro loan,86961.00,rejected
324,2675,2026-01-30,POS loan,403436.00,approved
325,1374,2024-07-16,POS loan,984808.00,approved
326,2356,2024-03-24,Credit card,1316298.00,approved
327,3857,2024-03-28,POS loan,451904.00,rejected
328,4064,2025-11-29,Credit card,1396327.00,rejected
329,4041,2025-12-11,Auto loan,14892176.00,approved
330,3226,2024-05-04,Cash loan,2098631.00,rejected
331,4282,2025-10-01,Auto loan,16159263.00,pending
332,4873,2026-04-06,Auto loan,8728405.00,pending
333,4538,2024-09-12,Cash loan,594134.00,approved
334,929,2024-04-05,Cash loan,831498.00,approved
335,951,2024-06-09,Cash loan,2250302.00,approved
336,2985,2024-11-08,Micro loan,490954.00,approved
337,1671,2025-03-30,Cash loan,3258281.00,approved
338,2161,2024-04-04,Credit card,101145.00,approved
339,3296,2025-09-03,POS loan,715802.00,approved
340,4447,2024-12-26,POS loan,60306.00,approved
341,61,2024-05-05,Credit card,1767333.00,approved
342,4039,2025-02-16,Micro loan,123674.00,approved
343,3170,2024-04-16,Cash loan,304228.00,approved
344,1030,2025-04-07,Cash loan,1079695.00,rejected
345,4280,2025-10-08,Micro loan,122115.00,approved
346,243,2024-09-07,Micro loan,522965.00,approved
347,2930,2025-03-08,Cash loan,278566.00,approved
348,523,2025-11-12,Auto loan,12904515.00,pending
349,2599,2024-10-24,Micro loan,448183.00,approved
350,3586,2025-07-20,Micro loan,185768.00,rejected
351,616,2024-05-05,POS loan,637537.00,approved
352,1414,2024-11-06,Micro loan,103103.00,pending
353,2077,2025-04-29,Cash loan,1373233.00,rejected
354,3576,2024-05-27,Cash loan,3307867.00,approved
355,1040,2024-08-22,Micro loan,95480.00,rejected
356,2408,2024-05-09,Auto loan,15364637.00,approved
357,4188,2024-09-24,POS loan,520424.00,approved
358,4896,2026-04-08,POS loan,758711.00,approved
359,1951,2024-10-12,Micro loan,473096.00,approved
360,1204,2024-03-07,Micro loan,549303.00,rejected
361,2107,2024-11-28,Cash loan,1129875.00,approved
362,3549,2026-02-09,Micro loan,359749.00,approved
363,277,2026-03-08,POS loan,653964.00,approved
364,1747,2025-05-02,Micro loan,139288.00,rejected
365,2381,2025-10-18,POS loan,557719.00,approved
366,98,2025-05-23,Credit card,1878027.00,rejected
367,3962,2025-07-02,POS loan,723667.00,approved
368,3079,2024-02-24,Cash loan,3362676.00,rejected
369,113,2024-10-07,Cash loan,2975618.00,approved
370,2280,2025-10-16,Cash loan,1435310.00,approved
371,1970,2024-08-31,Cash loan,1084895.00,approved
372,4987,2025-04-25,Cash loan,3333713.00,pending
373,283,2024-04-06,Credit card,1152692.00,approved
374,1280,2025-01-06,Micro loan,110219.00,approved
375,3963,2026-03-27,Micro loan,81151.00,approved
376,34,2026-03-25,Credit card,1093564.00,approved
377,947,2025-06-14,POS loan,884306.00,approved
378,3668,2024-10-02,Credit card,1647177.00,approved
379,1386,2025-08-01,Cash loan,3187765.00,rejected
380,2903,2024-02-03,Credit card,1113118.00,rejected
381,1255,2025-05-29,Cash loan,1269465.00,approved
382,1256,2025-02-03,POS loan,154075.00,approved
383,1684,2026-01-28,Micro loan,210261.00,approved
384,3490,2025-10-12,Cash loan,2653274.00,approved
385,2207,2024-02-06,Micro loan,429748.00,rejected
386,3998,2025-06-09,Credit card,1971620.00,approved
387,4183,2025-06-29,Micro loan,86544.00,approved
388,1650,2024-04-01,Auto loan,4518143.00,pending
389,965,2025-04-16,Micro loan,378375.00,approved
390,4542,2024-06-01,Auto loan,16776594.00,rejected
391,1978,2024-03-24,Cash loan,1786510.00,approved
392,1123,2024-12-20,Cash loan,3044620.00,approved
393,1755,2025-06-15,Micro loan,479753.00,approved
394,1433,2025-12-06,POS loan,293536.00,rejected
395,2140,2024-04-04,Cash loan,3468354.00,approved
396,4052,2024-07-12,Cash loan,1473505.00,rejected
397,1905,2025-12-17,POS loan,583474.00,approved
398,830,2025-11-23,Micro loan,188399.00,approved
399,2070,2024-07-08,Cash loan,2641075.00,rejected
400,3942,2024-09-24,Cash loan,2874128.00,approved
401,537,2025-09-24,Auto loan,6823255.00,approved
402,413,2025-11-09,POS loan,335090.00,rejected
403,2704,2024-08-19,Micro loan,32291.00,rejected
404,4708,2025-01-07,POS loan,1197976.00,approved
405,4980,2026-03-30,Micro loan,264605.00,approved
406,1493,2025-05-15,Cash loan,2603546.00,approved
407,1221,2024-08-15,Credit card,1414574.00,approved
408,586,2024-05-10,Credit card,278399.00,approved
409,850,2024-04-14,Credit card,1435135.00,approved
410,1700,2024-02-21,Cash loan,2144072.00,rejected
411,3056,2026-02-22,Credit card,473544.00,approved
412,3318,2025-08-13,Cash loan,2353146.00,pending
413,2363,2025-12-29,Auto loan,3737911.00,approved
414,1143,2026-04-22,Auto loan,5042713.00,approved
415,1394,2024-02-04,Credit card,1747002.00,approved
416,2636,2025-12-21,Micro loan,527561.00,approved
417,4715,2024-11-07,Cash loan,589675.00,approved
418,98,2025-06-23,Micro loan,490960.00,rejected
419,1681,2025-05-06,Credit card,359824.00,approved
420,915,2025-03-10,Micro loan,224829.00,approved
421,444,2025-06-12,Cash loan,2650045.00,approved
422,554,2025-01-16,Cash loan,1122596.00,approved
423,3680,2025-07-10,Cash loan,3146281.00,approved
424,4581,2026-03-16,Auto loan,6133107.00,rejected
425,1617,2025-03-30,Credit card,1463197.00,approved
426,1895,2025-07-10,Cash loan,1086722.00,approved
427,3649,2024-03-03,Credit card,1305574.00,approved
428,1385,2024-11-09,Micro loan,358371.00,approved
429,3602,2025-05-14,Micro loan,45996.00,approved
430,1906,2024-12-30,POS loan,1114735.00,approved
431,1675,2024-09-27,Credit card,312059.00,approved
432,4188,2024-01-29,Credit card,1801053.00,approved
433,1904,2025-06-13,Micro loan,90774.00,rejected
434,1117,2026-01-16,Micro loan,323949.00,approved
435,4847,2025-07-20,Auto loan,7714507.00,approved
436,2901,2024-08-12,POS loan,828249.00,approved
437,2415,2024-04-12,POS loan,542533.00,approved
438,273,2025-04-01,Auto loan,8397582.00,approved
439,4043,2024-03-03,Credit card,1489365.00,pending
440,1747,2026-02-22,Micro loan,125012.00,approved
441,566,2026-01-05,POS loan,245661.00,rejected
442,4836,2024-12-06,POS loan,511831.00,approved
443,2007,2025-05-16,Cash loan,628523.00,pending
444,2095,2025-12-02,Cash loan,2195419.00,approved
445,633,2025-04-22,Cash loan,1051395.00,rejected
446,1731,2024-01-29,POS loan,1179216.00,approved
447,417,2024-01-15,Cash loan,1706374.00,approved
448,370,2025-05-03,Cash loan,554751.00,approved
449,2215,2025-04-04,Micro loan,343072.00,approved
450,3536,2025-07-26,Cash loan,2155639.00,approved
451,2951,2026-03-19,Micro loan,93564.00,rejected
452,2691,2024-05-17,Credit card,1370673.00,approved
453,1793,2025-01-28,Micro loan,492586.00,approved
454,981,2024-05-12,Cash loan,2038679.00,rejected
455,281,2025-09-28,POS loan,97592.00,rejected
456,2571,2025-12-13,Micro loan,366405.00,approved
457,4401,2024-04-11,Credit card,1680265.00,rejected
458,3395,2025-07-06,Micro loan,305831.00,approved
459,3568,2024-11-30,Micro loan,498397.00,rejected
460,4413,2026-03-09,Cash loan,3208257.00,approved
461,2412,2024-07-08,Cash loan,1469503.00,approved
462,2962,2024-03-27,Micro loan,417872.00,pending
463,2670,2025-03-05,POS loan,638477.00,approved
464,1428,2024-02-19,Cash loan,1800703.00,approved
465,2589,2025-09-07,Auto loan,13401015.00,approved
466,197,2024-03-14,Cash loan,1230011.00,approved
467,643,2024-11-06,Micro loan,396073.00,rejected
468,4415,2024-02-23,POS loan,1054022.00,approved
469,592,2024-09-17,Auto loan,6559527.00,rejected
470,2944,2024-11-12,POS loan,61654.00,pending
471,112,2024-02-11,Micro loan,69227.00,approved
472,3378,2024-09-17,Micro loan,294156.00,rejected
473,3155,2025-06-25,Auto loan,6960869.00,rejected
474,4387,2026-04-09,POS loan,407346.00,approved
475,156,2024-10-15,Micro loan,178865.00,rejected
476,3247,2025-03-11,Cash loan,2010103.00,approved
477,682,2024-07-16,Credit card,1561044.00,approved
478,2715,2026-01-26,Cash loan,2277110.00,approved
479,875,2026-03-22,Micro loan,400046.00,approved
480,3055,2024-03-02,Credit card,346418.00,approved
481,2703,2025-09-08,Cash loan,1157742.00,approved
482,177,2025-03-25,Micro loan,104069.00,rejected
483,2104,2024-03-13,Credit card,1533954.00,approved
484,3967,2026-02-23,Micro loan,436091.00,rejected
485,832,2025-10-02,Cash loan,1109235.00,pending
486,1281,2025-12-18,Cash loan,2599215.00,rejected
487,3866,2024-02-29,Cash loan,1438864.00,rejected
488,817,2025-02-27,POS loan,663467.00,approved
489,4864,2025-03-05,Cash loan,3342200.00,pending
490,4138,2025-09-13,Micro loan,218757.00,approved
491,2526,2024-03-27,Micro loan,598582.00,approved
492,4166,2026-03-02,Cash loan,519175.00,rejected
493,1984,2025-03-30,Credit card,670123.00,rejected
494,2286,2026-02-24,POS loan,379502.00,pending
495,3749,2026-02-05,Auto loan,11641779.00,approved
496,2181,2024-11-02,Micro loan,350601.00,approved
497,41,2025-08-11,Credit card,906331.00,approved
498,4460,2024-09-18,Micro loan,276024.00,rejected
499,4752,2024-06-07,Credit card,706488.00,approved
500,4122,2025-05-21,Credit card,1450607.00,rejected
501,1999,2025-05-04,POS loan,1051056.00,approved
502,2087,2025-08-08,POS loan,481547.00,approved
503,371,2024-11-25,Cash loan,770822.00,approved
504,4612,2024-04-12,Micro loan,506660.00,approved
505,1039,2025-07-05,Credit card,743010.00,approved
506,3750,2025-03-18,POS loan,889443.00,approved
507,669,2025-08-25,Cash loan,945770.00,rejected
508,1341,2025-01-24,Micro loan,162308.00,approved
509,1726,2024-04-25,POS loan,1090643.00,pending
510,127,2025-06-27,Auto loan,9054152.00,rejected
511,3666,2024-11-22,Credit card,154857.00,approved
512,3573,2026-01-21,Auto loan,15363112.00,rejected
513,4844,2025-10-29,Credit card,971722.00,rejected
514,2483,2024-10-11,Auto loan,10010589.00,rejected
515,910,2024-10-05,Cash loan,2038617.00,pending
516,3835,2024-02-26,Cash loan,1681716.00,pending
517,150,2025-12-14,Cash loan,1695717.00,pending
518,2098,2025-09-24,Cash loan,2833933.00,rejected
519,4410,2024-11-24,POS loan,728993.00,approved
520,3191,2025-10-07,Cash loan,1233542.00,rejected
521,2189,2026-02-03,Credit card,848550.00,approved
522,2760,2025-12-27,Credit card,1092790.00,approved
523,3359,2024-08-03,Cash loan,1568781.00,approved
524,1506,2024-01-04,Auto loan,7602996.00,approved
525,4631,2024-12-15,Micro loan,40343.00,approved
526,1316,2025-04-26,Micro loan,522987.00,approved
527,1171,2025-05-01,POS loan,735736.00,approved
528,4558,2025-05-24,Cash loan,3158945.00,pending
529,2234,2024-06-10,Auto loan,12823217.00,pending
530,3303,2024-01-24,Cash loan,1926997.00,rejected
531,4427,2024-02-01,Auto loan,5144058.00,rejected
532,3565,2025-11-28,Micro loan,307036.00,approved
